441053	1726	338	ensembl
441053	663	338	ensembl
441053	7344	328	ensembl
441053	7336	328	ensembl
441054	16520	60	ensembl
441054	31013	199	ensembl
441054	11667	317	ensembl
441054	37761	208	ensembl
441054	28529	153	ensembl
441054	43206	200	ensembl
441054	36456	222	ensembl
441054	33836	201	ensembl
441054	30672	197	ensembl
441054	49888	158	ensembl
441054	82185	198	ensembl
441054	28747	204	ensembl
441054	32314	216	ensembl
441054	29301	205	ensembl
441054	21566	225	ensembl
441054	27120	219	ensembl
441054	28517	207	ensembl
441054	26348	217	ensembl
441054	11363	124	ensembl
441054	2928	108	ensembl
441054	2067	193	ensembl
441054	7518	181	ensembl
441054	15207	191	ensembl
441054	3415	214	ensembl
441054	9635	188	ensembl
441054	11641	182	ensembl
441054	16359	179	ensembl
441054	10425	306	ensembl
441054	31484	67	ensembl
441054	1205405	134	ensembl
441054	20577	324	ensembl
441054	3852	180	ensembl
441054	117794	155	ensembl
441054	36760	184	ensembl
441054	9035	325	ensembl
441054	13901	319	ensembl
441054	472	190	ensembl
441054	8793	189	ensembl
441054	1804	183	ensembl
441054	12984	213	ensembl
441054	26421	174	ensembl
441054	8461	212	ensembl
441054	21328	334	ensembl
441054	7223	84	ensembl
441054	33489	321	ensembl
441054	4418	303	ensembl
441054	18980	288	ensembl
441054	23795	286	ensembl
441054	15509	80	ensembl
441054	7047	302	ensembl
441054	24708	48	ensembl
441054	14090	335	ensembl
441054	67439	307	ensembl
441054	3231	147	ensembl
441054	8237	224	ensembl
441054	2518	187	ensembl
441054	22226	55	ensembl
441054	15648	206	ensembl
441054	5128	333	ensembl
441054	4866	285	ensembl
441054	17306	138	ensembl
441054	15786	135	ensembl
441054	4129	293	ensembl
441054	5714	118	ensembl
441054	15809	292	ensembl
441054	12656	109	ensembl
441054	69168	240	ensembl
441054	17919	238	ensembl
441054	18260	284	ensembl
441054	19589	323	ensembl
441054	12612	211	ensembl
441054	41932	237	ensembl
441054	26059	149	ensembl
441054	11648	98	ensembl
